d_selfscan,ta1,ta2,ta3,ta4,ni1,ni2,ni3,ni4,so1,so2,so3,so4,so5,so6,yrs_age,yrs_edu,d_highedu,d_female
1,5,4,2,2,4,5,1,1,3,2,1,3,4,3,47,0,0,1
0,4,1,1,1,4,4,2,2,4,4,4,4,4,2,57,0,0,1
1,2,5,1,4,4,4,1,4,1,4,1,4,5,5,47,9,1,1
0,5,1,1,1,5,5,1,1,1,5,4,1,5,5,43,0,0,1
1,5,1,4,4,4,4,2,2,4,4,1,4,4,4,25,2,0,0
1,4,4,1,1,5,5,5,5,5,5,1,5,4,5,69,14,1,0
0,4,2,2,2,4,4,2,4,5,4,4,4,3,4,40,6,0,1
1,5,1,1,1,5,5,1,1,5,5,5,5,5,1,36,10,1,1
0,5,2,4,5,5,5,1,5,4,5,3,5,5,1,51,6,0,1
0,4,2,1,1,4,4,2,2,5,5,5,2,2,2,26,11,1,1
1,5,2,1,1,5,5,1,5,5,5,5,1,1,1,43,10,1,1
0,3,4,1,1,5,5,4,5,5,5,5,5,1,1,23,9,1,0
0,4,2,1,1,5,5,4,4,4,4,4,5,5,5,61,7,0,0
1,5,1,1,1,2,2,4,3,5,5,5,3,3,3,35,12,1,1
0,5,1,1,1,5,5,1,5,4,5,4,5,2,4,43,3,0,1
0,5,1,1,1,5,5,1,1,5,5,4,5,5,1,58,2,0,1
1,5,1,1,1,5,5,5,1,5,5,5,5,5,4,47,6,0,1
1,5,1,1,1,5,5,1,4,1,1,1,5,5,3,23,10,1,0
1,5,1,1,1,5,5,1,5,1,3,1,5,1,1,40,10,1,1
1,2,4,2,2,5,5,1,5,2,2,2,5,4,4,51,10,1,1
0,5,1,5,5,4,4,1,5,1,3,1,5,5,5,45,6,0,0
0,5,1,1,1,5,4,2,3,1,5,1,5,4,5,49,10,1,0
1,3,5,5,1,5,5,1,5,1,1,1,4,4,1,45,9,1,1
0,1,5,1,4,5,5,1,5,1,4,1,4,1,1,64,9,1,1
0,5,1,1,4,5,5,1,5,1,1,1,5,5,5,66,6,0,1
0,5,5,1,1,4,4,1,1,1,3,1,5,5,5,35,10,1,1
0,1,5,4,4,5,5,1,5,3,4,2,5,5,5,50,4,0,1
1,1,5,1,1,5,4,4,1,2,3,1,1,5,1,48,10,1,0
0,5,1,1,1,5,4,2,4,2,1,1,5,5,1,25,10,1,1
1,5,1,1,1,1,1,5,1,1,1,1,5,5,5,48,11,1,0
0,5,1,1,1,4,5,2,4,1,1,1,4,5,4,50,6,0,0
0,5,1,1,1,5,5,1,5,1,2,1,5,5,5,57,9,1,0
0,1,5,1,1,5,5,1,5,1,2,1,4,5,1,41,10,1,1
0,5,1,1,1,3,5,1,1,1,1,1,2,4,1,27,12,1,1
0,3,4,2,2,3,3,2,4,2,2,2,4,4,4,47,6,0,1
1,1,1,1,5,5,5,1,5,1,5,1,5,4,5,57,8,1,1
0,1,2,1,5,5,5,1,5,5,5,2,1,4,1,64,3,0,1
1,4,4,2,2,5,5,4,4,1,3,1,5,5,4,39,10,1,1
1,5,1,1,5,5,5,5,5,3,3,3,5,5,1,45,6,0,1
1,5,1,1,1,5,1,5,3,1,3,1,5,1,5,37,6,0,0
0,4,3,5,4,5,5,1,5,1,1,1,5,4,5,50,8,1,1
1,5,1,1,1,3,4,1,5,1,3,1,5,5,5,49,9,1,1
1,4,2,1,1,5,5,5,5,2,2,1,5,5,5,41,10,1,0
0,4,2,2,1,5,5,1,2,1,1,1,4,5,4,44,9,1,0
1,5,1,1,1,5,3,3,3,5,5,3,1,1,1,24,9,1,0
1,3,2,2,1,4,4,1,5,2,4,1,5,4,2,45,6,0,1
1,3,3,3,4,4,5,5,2,4,5,2,4,4,4,33,10,1,1
1,4,1,1,1,3,3,3,1,3,3,1,5,5,5,40,9,1,1
0,4,2,2,2,5,5,1,5,2,2,1,1,1,1,27,11,1,1
0,5,1,1,1,4,4,1,1,1,3,1,4,5,1,54,6,0,1
1,5,1,1,1,4,4,1,5,3,4,1,5,5,3,36,9,1,1
0,3,4,4,3,4,5,1,4,2,4,2,5,5,5,51,9,1,0
1,4,3,2,4,4,4,4,4,3,4,2,4,4,4,61,8,1,1
0,5,5,1,5,5,5,1,5,1,4,1,5,5,5,52,9,1,1
0,5,1,1,1,5,5,1,5,1,3,1,3,5,5,50,9,1,1
1,5,1,1,1,1,1,1,1,1,1,1,5,5,5,44,9,1,1
1,4,1,2,1,2,2,5,1,5,4,4,4,2,4,27,9,1,1
0,5,1,1,1,5,5,3,3,1,3,1,5,5,5,35,10,1,1
0,5,5,4,1,4,1,5,1,1,3,1,5,5,5,33,11,1,0
0,5,1,2,4,5,5,3,4,1,4,1,4,5,1,42,9,1,1
1,4,2,1,1,3,3,1,1,2,2,1,4,4,4,39,9,1,1
0,4,2,1,1,4,4,2,4,2,4,1,4,2,4,36,6,0,0
0,3,3,4,4,4,4,3,4,5,5,5,2,1,4,16,4,0,1
1,5,1,1,1,4,4,1,3,3,3,1,1,2,4,32,10,1,1
